Symbol,Type,Entry Time,Entry Price,Exit Time,Exit Price,PnL,Cumulative PnL,Exit Reason
NIFTY BANK,Long,2022-06-02 09:30:00,35555.8,2022-06-02 10:50:00,35470.3,-85.5,-2702.45,StopLoss
NIFTY BANK,Short,2022-06-03 12:30:00,35573.35,2022-06-03 12:40:00,35624.9,-51.55,-2754.00,StopLoss
NIFTY BANK,Long,2022-06-06 09:15:00,35348.2,2022-06-06 09:30:00,35109.85,-238.35,-2992.35,StopLoss
NIFTY BANK,Short,2022-06-08 09:35:00,35011.95,2022-06-08 09:40:00,35042.4,-30.45,-3022.80,StopLoss
NIFTY BANK,Long,2022-06-14 10:45:00,33464.6,2022-06-14 10:50:00,33436.95,-27.65,-3050.45,StopLoss
NIFTY BANK,Long,2022-06-15 09:15:00,33375.25,2022-06-15 09:40:00,33289.25,-86.00,-3136.45,StopLoss
NIFTY BANK,Short,2022-06-16 11:05:00,33405.95,2022-06-16 11:15:00,33305.95,100.00,-3036.45,TakeProfit
NIFTY BANK,Long,2022-06-17 09:40:00,32730.25,2022-06-17 09:50:00,32830.25,100.00,-2936.45,TakeProfit
NIFTY BANK,Short,2022-06-20 09:15:00,32750.75,2022-06-20 09:30:00,32650.75,100.00,-2836.45,TakeProfit
NIFTY BANK,Long,2022-06-23 09:15:00,32932.2,2022-06-23 09:20:00,33032.2,100.0,-2736.45,TakeProfit
NIFTY BANK,Long,2022-06-30 09:15:00,33397.55,2022-06-30 09:35:00,33497.55,100.00,-2636.45,TakeProfit
NIFTY BANK,Long,2022-07-01 12:55:00,33361.9,2022-07-01 13:40:00,33461.9,100.0,-2536.45,TakeProfit
NIFTY BANK,Long,2022-07-04 09:45:00,33607.15,2022-07-04 10:50:00,33707.15,100.00,-2436.45,TakeProfit
NIFTY BANK,Long,2022-07-06 09:15:00,34023.65,2022-07-06 09:20:00,34123.65,100.00,-2336.45,TakeProfit
NIFTY BANK,Long,2022-07-11 09:15:00,35242.95,2022-07-11 10:10:00,35342.95,100.00,-2236.45,TakeProfit
NIFTY BANK,Long,2022-07-12 09:15:00,35342.9,2022-07-12 11:35:00,35236.2,-106.7,-2343.15,StopLoss
NIFTY BANK,Long,2022-07-13 09:15:00,35290.85,2022-07-13 10:15:00,35190.9,-99.95,-2443.10,StopLoss
NIFTY BANK,Long,2022-07-14 09:15:00,34856.65,2022-07-14 09:30:00,34956.65,100.00,-2343.10,TakeProfit
NIFTY BANK,Long,2022-07-15 09:15:00,34837.85,2022-07-15 09:20:00,34734.45,-103.40,-2446.50,StopLoss
NIFTY BANK,Long,2022-07-19 09:15:00,35218.95,2022-07-19 09:45:00,35318.95,100.00,-2346.50,TakeProfit
NIFTY BANK,Short,2022-07-21 09:15:00,35947.7,2022-07-21 09:30:00,36026.55,-78.85,-2425.35,StopLoss
NIFTY BANK,Short,2022-07-25 09:50:00,36665.45,2022-07-25 10:45:00,36565.45,100.00,-2325.35,TakeProfit
NIFTY BANK,Long,2022-07-27 09:15:00,36385.95,2022-07-27 09:20:00,36315.75,-70.20,-2395.55,StopLoss
