Symbol,Type,Entry Time,Entry Price,Exit Time,Exit Price,PnL,Cumulative PnL
NIFTY 50,Short,2025-05-30 09:15:00,24806.0,2025-05-30 09:20:00,24857.85,-51.85,-535.40
NIFTY 50,Short,2025-08-08 09:15:00,24573.35,2025-08-08 11:10:00,24441.05,132.30,-403.10
NIFTY 50,Short,2025-08-11 14:40:00,24557.0,2025-08-11 14:45:00,24577.05,-20.05,-423.15
NIFTY 50,Short,2025-08-12 10:10:00,24662.35,2025-08-12 11:55:00,24565.75,96.60,-326.55
NIFTY 50,Short,2025-09-02 10:10:00,24728.75,2025-09-02 12:30:00,24743.6,-14.85,-341.40
NIFTY 50,Short,2025-09-04 09:40:00,24885.85,2025-09-04 09:45:00,24911.6,-25.75,-367.15
NIFTY 50,Short,2025-12-31 13:15:00,26147.25,2025-12-31 13:20:00,26154.0,-6.75,-373.90
NIFTY 50,Short,2025-12-31 13:30:00,26151.1,2025-12-31 13:55:00,26167.9,-16.8,-390.70
NIFTY BANK,Short,2015-01-20 15:10:00,19743.0,2015-01-21 09:15:00,19847.95,-104.95,-495.65
NIFTY BANK,Short,2015-01-21 09:50:00,19936.6,2015-01-21 09:55:00,19955.6,-19.0,-514.65
NIFTY BANK,Short,2015-01-27 15:20:00,20531.8,2015-01-28 10:50:00,20565.5,-33.7,-548.35
NIFTY BANK,Short,2015-01-28 12:35:00,20771.65,2015-01-28 14:00:00,20573.6,198.05,-350.30
NIFTY BANK,Short,2015-06-22 10:55:00,18262.45,2015-06-22 11:05:00,18330.7,-68.25,-418.55
NIFTY BANK,Short,2015-06-22 11:10:00,18325.4,2015-06-22 12:40:00,18370.9,-45.5,-464.05
NIFTY BANK,Short,2015-07-07 09:30:00,18913.85,2015-07-07 10:10:00,18951.9,-38.05,-502.10
NIFTY BANK,Short,2015-07-16 10:35:00,18991.35,2015-07-16 10:55:00,19012.15,-20.80,-522.90
NIFTY BANK,Short,2015-07-16 13:30:00,19124.6,2015-07-16 13:45:00,19144.15,-19.55,-542.45
NIFTY BANK,Short,2015-10-16 15:05:00,17894.95,2015-10-16 15:15:00,17915.55,-20.60,-563.05
NIFTY BANK,Short,2015-10-19 09:15:00,17898.25,2015-10-19 11:35:00,17843.65,54.60,-508.45
NIFTY BANK,Short,2016-03-02 10:30:00,15001.2,2016-03-02 12:45:00,15032.7,-31.5,-539.95
